Time[mSeconds],Pressure[PSI],Temperature[DegC]
102661,64.52,19.25
102862,67.45,19.25
103063,70.38,19.25
103265,67.45,19.25
103467,70.38,19.25
103668,67.45,19.25
103869,67.45,19.25
104071,67.45,19.25
104272,70.38,19.25
104474,73.31,19.25
104675,67.45,19.25
104877,64.52,19.25
105078,70.38,19.25
105280,67.45,19.25
105481,67.45,19.25
105682,73.31,19.25
105884,67.45,19.25
106086,70.38,19.25
106287,67.45,19.25
106488,67.45,19.25
106690,67.45,19.25
106891,67.45,19.25
107092,64.52,19.25
107294,67.45,19.25
107496,67.45,19.25
107697,67.45,19
107898,70.38,19.25
108100,67.45,19.25
108302,70.38,19.25
108503,70.38,19
108704,67.45,19.25
108906,67.45,19.25
109108,70.38,19.25
109308,70.38,19
109510,67.45,19.25
109712,64.52,19.25
109913,67.45,19.25
110114,76.25,19.25
110316,67.45,19
110518,70.38,19.25
110718,67.45,19
110920,67.45,19.25
111122,70.38,19.25
111324,70.38,19.25
111524,67.45,19.25
111726,64.52,19.25
111928,67.45,19.25
112130,67.45,19
112330,67.45,19.25
112532,70.38,19.25
112734,67.45,19.25
112935,64.52,19.25
113136,67.45,19
113338,70.38,19.25
113540,73.31,19.25
113740,67.45,19.25
113942,67.45,19.25
114144,64.52,19
114345,67.45,19
114546,64.52,19.25
114748,67.45,19.25
114950,70.38,19.25
115151,67.45,19.25
115352,67.45,19.25
115554,67.45,19.25
115756,67.45,19.25
115957,67.45,19.25
116158,70.38,19.25
116360,67.45,19.25
116561,70.38,19.25
116763,67.45,19.25
116964,67.45,19.25
117166,67.45,19.25
117367,70.38,19.25
117568,64.52,19.25
117770,64.52,19
117971,67.45,19.25
118173,73.31,19.25
118374,67.45,19.25
118576,64.52,19.25
118777,67.45,19.25
118979,67.45,19.25
119180,67.45,19
119382,67.45,19.25
119583,67.45,19.25
119785,67.45,19.25
119986,70.38,19.25
120187,67.45,19
120389,67.45,19
120590,70.38,19
120792,64.52,19
120993,67.45,19.25
121195,67.45,19
121396,67.45,19.25
121597,70.38,19
121799,67.45,19.25
122001,67.45,19.25
122202,67.45,19
122403,67.45,19.25
122605,64.52,19.25
122807,67.45,19.25
123008,67.45,19.25
123209,67.45,19
123411,64.52,19.25
123612,67.45,19.25
123813,67.45,19
124015,70.38,19.25
124217,70.38,19.25
124418,64.52,19.25
124619,67.45,19.25
124821,67.45,19.25
125023,70.38,19.25
125223,70.38,19
125425,67.45,19.25
125627,64.52,19.25
125829,67.45,19
126029,67.45,19
126231,67.45,19.25
126433,70.38,19
126633,67.45,19
126835,67.45,19.25
127037,67.45,19
127239,70.38,19.25
127439,67.45,19.25
127641,64.52,19.25
127843,64.52,19.25
